rank,symbol,company_name,market_cap,stock_price_cad,percent_change,revenue,exchange,source_url,yahoo_symbol,sector,industry,long_name,quote_type,lookup_status
587,RM,Roxmore Resources Inc.,304.32M,4.32,-,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,RM.TO,Financial Services,Shell Companies,Roxmore Resources Inc.,EQUITY,success
588,DR,Medical Facilities Corporation,300.11M,17.22,0.70%,348.49M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,DR.TO,Healthcare,Medical Care Facilities,Medical Facilities Corporation,EQUITY,success
589,WILD,WildBrain Ltd.,299.34M,1.41,0.71%,529.86M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,WILD.TO,Communication Services,Entertainment,WildBrain Ltd.,EQUITY,success
590,TSND,TerrAscend Corp.,297.18M,0.96,-,357.26M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TSND.TO,Healthcare,Drug Manufacturers - Specialty & Generic,TerrAscend Corp.,EQUITY,success
591,PTM,Platinum Group Metals Ltd.,296.77M,2.38,1.71%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,PTM.TO,Basic Materials,Other Precious Metals & Mining,Platinum Group Metals Ltd.,EQUITY,success
592,OLY,Olympia Financial Group Inc.,296.56M,123.24,-,98.86M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,OLY.TO,Financial Services,Asset Management,Olympia Financial Group Inc.,EQUITY,success
593,PRQ,Petrus Resources Ltd.,296.17M,2.01,-,79.36M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,PRQ.TO,Energy,Oil & Gas E&P,Petrus Resources Ltd.,EQUITY,success
594,FAR,Foraco International SA,291.17M,3.02,1.68%,376.09M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,FAR.TO,Basic Materials,Other Industrial Metals & Mining,Foraco International SA,EQUITY,success
595,XTC,Exco Technologies Limited,288.34M,7.66,-0.13%,612.66M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,XTC.TO,Consumer Cyclical,Auto Parts,Exco Technologies Limited,EQUITY,success
596,HFPC.U,Helios Fairfax Partners Corporation,285.82M,1.86,-2.11%,87.99M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,HFPC-U.TO,Financial Services,Asset Management,Helios Fairfax Partners Corporation,EQUITY,success
597,AIDX,Healwell AI Inc.,284.11M,0.98,2.08%,103.80M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,AIDX.TO,Healthcare,Medical Care Facilities,Healwell AI Inc.,EQUITY,success
